Borough,Latitude,Longitude
ALIAGA,38.8024909080,26.9755799700
BALCOVA,38.3923534160,27.0480948160
BAYINDIR,38.2188862940,27.6483034460
BAYRAKLI,38.4674951080,27.1679335450
BERGAMA,39.1183714520,27.1735082810
BEYDAG,38.0878117900,28.2106856450
BORNOVA,38.4701166530,27.2178051440
BUCA,38.3890658100,27.1832099850
CESME,38.3272444650,26.3095458700
CIGLI,38.5063536780,27.0573458840
DIKILI,39.0776564400,26.8901696410
FOCA,38.6672183970,26.7561060420
GAZIEMIR,38.3246987910,27.1298495940
GUZELBAHCE,38.3612176670,26.8883991720
KARABAGLAR,38.3981653290,27.1145206200
KARABURUN,38.6378300420,26.5128211190
KARSIYAKA,38.4612615260,27.1031582870
KEMALPASA,38.4276329410,27.4172086510
KINIK,39.0888021830,27.3804192020
KIRAZ,38.2308191910,28.2054177360
KONAK,38.4206644650,27.1431951550
MENDERES,38.2541282570,27.1325812700
MENEMEN,38.6108864040,27.0700633770
NARLIDERE,38.3955172700,27.0085887350
ODEMIS,38.2292289200,27.9768711530
SEFERIHISAR,38.1980354260,26.8395399370
SELCUK,37.9515127090,27.3704957680
TIRE,38.0913087890,27.7335018980
TORBALI,38.1561401520,27.3584025450
URLA,38.3221875560,26.7610733970
